DISTRICT,DATE,CONFIRMED,RECOVERED,ACTIVE,DEATH
Palakkad,22-04-2020,0,1,5,0
Palakkad,27-04-2020,1,0,6,0
Palakkad,30-04-2020,0,4,2,0
Palakkad,4-5-2020,0,1,1,0
Palakkad,10-5-2020,0,1,0,0
Palakkad,11-5-2020,1,0,1,0
Palakkad,13-05-2020,2,0,3,0
Palakkad,14-05-2020,3,0,6,0
Palakkad,15-05-2020,1,0,7,0
Palakkad,16-05-2020,2,0,9,0
Palakkad,17-05-2020,2,0,11,0
Palakkad,18-05-2020,1,0,12,0
Palakkad,19-05-2020,1,0,13,0
Palakkad,20-05-2020,7,0,20,0
Palakkad,21-05-2020,1,0,21,0
Palakkad,22-05-2020,5,0,26,0
Palakkad,23-05-2020,19,0,45,0
Palakkad,24-05-2020,4,0,49,0
Palakkad,25-05-2020,5,0,54,0
Palakkad,26-05-2020,29,2,81,0
Palakkad,27-05-2020,8,0,89,0
Palakkad,28-05-2020,16,0,105,0
Palakkad,29-05-2020,14,0,119,0
Palakkad,30-05-2020,9,0,128,0
Palakkad,31-05-2020,12,0,140,0
Palakkad,1-6-2020,2,1,141,0
Palakkad,2-6-2020,5,0,146,0
Palakkad,3-6-2020,5,0,151,0
Palakkad,4-6-2020,7,13,144,1
Palakkad,5-6-2020,40,0,184,0
Palakkad,6-6-2020,11,30,165,0
Palakkad,7-6-2020,6,7,164,0
Palakkad,8-6-2020,1,2,163,0
Palakkad,9-6-2020,14,0,177,0
Palakkad,10-6-2020,6,0,183,0
Palakkad,11-6-2020,13,13,183,0
Palakkad,12-6-2020,5,6,182,0
Palakkad,13-06-2020,8,9,181,0
Palakkad,14-06-2020,6,27,160,0
Palakkad,15-06-2020,7,12,155,0
Palakkad,16-06-2020,6,9,152,0
Palakkad,17-06-2020,6,24,134,0
Palakkad,18-06-2020,14,11,137,0
Palakkad,19-06-2020,10,13,134,0
Palakkad,20-06-2020,23,10,147,0
Palakkad,21-06-2020,15,1,161,0
Palakkad,22-06-2020,16,12,165,0
Palakkad,23-06-2020,27,0,192,0
Palakkad,24-06-2020,16,1,207,0
Palakkad,25-06-2020,24,5,226,0
Palakkad,26-06-2020,23,2,247,0
Palakkad,27-06-2020,25,5,267,0
Palakkad,28-06-2020,4,4,267,0
Palakkad,29-06-2020,12,3,276,0
Palakkad,30-06-2020,17,7,286,0
Palakkad,01-07-2020,17,11,292,0
Palakkad,02-07-2020,18,54,256,0
Palakkad,03-07-2020,14,68,202,0
Palakkad,04-07-2020,29,45,186,0
Palakkad,05-07-2020,29,8,207,0
Palakkad,06-07-2020,8,33,182,0
Palakkad,07-07-2020,29,23,188,0
Palakkad,08-07-2020,25,9,203,0
Palakkad,09-07-2020,50,17,236,0
Palakkad,10-07-2020,28,8,256,0
Palakkad,11-07-2020,48,7,297,0
Palakkad,12-07-2020,59,16,340,0
Palakkad,13-07-2020,19,25,334,0
Palakkad,14-07-2020,26,49,311,0
Palakkad,15-07-2020,19,55,275,0
Palakkad,16-07-2020,25,72,228,0
Palakkad,17-07-2020,31,0,259,0
Palakkad,18-07-2020,49,27,281,0
Palakkad,19-07-2020,81,11,351,0
Palakkad,20-07-2020,49,94,306,0
Palakkad,21-07-2020,46,34,318,0
Palakkad,22-07-2020,34,15,337,0
Palakkad,23-07-2020,51,45,343,0
Palakkad,24-07-2020,58,63,338,0 
Palakkad,25-07-2020,35,24,348,1
Palakkad,26-07-2020,42,5,385,0
Palakkad,27-07-2020,41,9,417,0
Palakkad,28-07-2020,86,40,463,0
Palakkad,29-07-2020,49,19,493,0
Palakkad,30-07-2020,4,36,461,0
Palakkad,31-07-2020,83,111,433,0
Thrissur,30-01-2020,1,0,1,0
Thrissur,20-02-2020,0,1,0,0
Thrissur,12-3-2020,1,0,1,0
Thrissur,23-03-2020,1,0,2,0
Thrissur,25-03-2020,0,1,1,0
Thrissur,26-03-2020,2,0,3,0
Thrissur,27-03-2020,1,0,4,0
Thrissur,29-03-2020,1,0,5,0
Thrissur,31-03-2020,1,0,6,0
Thrissur,1-4-2020,2,0,8,0
Thrissur,2-4-2020,1,0,9,0
Thrissur,3-4-2020,1,0,10,0
Thrissur,6-4-2020,0,1,9,0
Thrissur,8-4-2020,1,3,7,0
Thrissur,10-4-2020,0,1,6,0
Thrissur,11-4-2020,0,1,5,0
Thrissur,13-04-2020,0,3,2,0
Thrissur,14-04-2020,0,1,1,0
Thrissur,19-04-2020,0,1,0,0
Thrissur,10-5-2020,2,0,2,0
Thrissur,16-05-2020,4,0,6,0
Thrissur,17-05-2020,1,0,7,0
Thrissur,18-05-2020,4,0,11,0
Thrissur,19-05-2020,1,0,12,0
Thrissur,20-05-2020,2,2,12,0
Thrissur,21-05-2020,3,0,15,0
Thrissur,22-05-2020,4,0,18,1
Thrissur,26-05-2020,4,0,22,0
Thrissur,28-05-2020,7,0,29,0
Thrissur,29-05-2020,6,0,35,0
Thrissur,30-05-2020,10,3,42,0
Thrissur,31-05-2020,3,0,45,0
Thrissur,1-6-2020,9,0,54,0
Thrissur,2-6-2020,6,0,60,0
Thrissur,3-6-2020,4,1,63,0
Thrissur,4-6-2020,4,2,65,0
